driverId,driverRef,driverRating,carRating,constructorStrategy,2021_points,2021_standing,2022_points,2022_standing,2023_points,2023_standing,2024_points
1,hamilton,75,75,50,387.5,2,240,6,234,7,223
4,alonso,80,80,75,81,10,81,9,206,9,70
806,hulkenberg,70,40,30,4,19,0,19,9,16,41
815,perez,65,75,95,190,4,305,3,285,2,152
817,ricciardo,50,20,35,115,8,37,11,6,17,12
822,bottas,50,5,5,226,3,49,10,10,19,0
825,kevin_magnussen,50,40,30,14,16,25,13,3,15,16
830,max_verstappen,100,75,95,395.5,1,454,1,575,1,277
832,sainz,75,85,60,164.5,5,246,5,200,5,290
839,ocon,55,40,30,74,11,92,8,58,14,23
840,stroll,55,80,75,34,13,18,15,74,13,24
842,gasly,60,40,30,110,9,23,14,62,10,42
844,leclerc,70,85,60,159,7,308,2,206,3,177
846,norris,75,100,90,160,6,122,7,205,2,374
847,russell,70,75,50,16,15,275,4,175,6,116
848,albon,55,20,25,11,17,4,18,27,16,12
852,tsunoda,60,30,45,32,14,12,16,17,12,30
855,zhou,45,5,5,6,18,6,17,6,18,4
857,piastri,70,100,90,47,12,30,12,97,4,292
858,sargeant,15,20,25,1,20,1,20,1,20,0
